Time [s] 	 CH1 	 BGND1 	 CH2 	 BGND2 
0	8470	6178	7182	6690
0.022	2928	2675	6128	6325
0.043	8809	6438	7362	6818
0.065	2816	2718	6191	6093
0.087	9371	6275	7314	6892
0.109	2653	2706	6470	6002
0.13	8999	6136	7619	6837
0.152	2723	2760	6696	6087
0.174	11366	6081	6913	6782
0.196	2810	2730	6027	6240
0.217	11032	6039	7522	6873
0.239	2632	2681	6237	6026
0.261	10987	6275	6856	6959
0.283	2911	2699	6217	6477
0.304	9954	6208	7009	6983
0.326	2956	2681	6378	6045
0.348	8965	6063	6372	6636
0.37	2732	2687	6847	6215
0.391	10510	5997	7714	6855
0.413	2627	2669	7431	6337
0.435	10760	6220	7407	6922
0.457	2889	2724	7205	6166
0.478	10203	5973	6917	6989
0.5	2771	2712	5543	6093
0.522	10843	6208	7720	6764
0.544	2739	2687	6291	6014
0.565	11097	6136	7388	6751
0.587	2808	2687	6662	6148
0.609	10679	6124	7096	6751
0.631	2751	2736	6337	6489
0.652	10445	6130	7294	6885
0.674	2816	2675	6890	6032
0.696	10358	6021	6442	6733
0.717	2898	2712	6111	6020
0.739	10226	6093	6866	6745
0.761	2734	2730	6131	6197
0.783	11683	6154	6978	6648
0.804	2920	2687	6727	5892
0.826	14887	6220	7452	6831
0.848	2850	2730	6490	6148
0.87	10636	6087	7592	6946
0.891	2682	2730	6571	5990
0.913	11242	6166	7199	6928
0.935	2850	2699	6021	6154
0.957	10479	6323	7564	6690
0.978	2754	2724	6177	6325
1	9856	6063	6951	6922
1.022	2850	2699	6084	6203
1.044	10422	6099	6893	6934
1.065	2790	2706	6105	6191
1.087	10585	6118	7677	6928
1.109	2610	2699	6847	6325
1.131	11562	6118	7017	6837
1.152	2962	2706	6738	6124
1.174	11578	6003	6893	6892
1.196	2800	2712	5778	5965
1.218	9771	5973	6395	6940
1.239	2802	2706	6523	6002
1.261	8639	6269	7637	6855
1.283	2699	2651	6164	5911
1.305	12101	5948	7129	6965
1.326	2636	2712	5957	6063
1.348	11845	6009	7818	6825
1.37	2662	2706	6075	6264
1.391	9723	5997	6616	6739
1.413	2797	2687	6454	6252
1.435	11046	6172	6784	7020
1.457	3007	2736	6248	6069
1.478	10507	5979	7458	6892
1.5	2716	2669	6959	6154
1.522	10857	6130	7321	6770
1.544	2702	2675	6304	6264
1.565	11454	6081	7320	6849
1.587	2827	2687	6342	6087
1.609	10756	5906	7978	6983
1.631	2740	2712	5886	6093
1.652	10054	6335	7072	6946
1.674	2863	2706	6254	6246
1.696	10804	6329	8051	6837
1.718	2994	2706	7228	6039
1.739	9331	6081	6781	6928
1.761	2831	2712	6440	6203
1.783	9767	6099	7442	6697
1.805	2869	2706	5686	6185
1.826	10899	6256	6928	6916
1.848	2825	2730	6795	6057
1.87	9531	5930	7239	6837
1.892	2822	2699	6204	6325
1.913	10416	6003	7128	6764
1.935	3050	2699	5882	6307
1.957	8935	6154	7233	6745
1.979	2823	2706	6375	6221
2	9189	6154	7275	7257
2.022	2587	2724	5896	6209
2.044	10874	6214	6675	6818
2.065	2842	2712	6481	6197
2.087	10269	5991	7029	6794
2.109	2857	2712	6208	6112
2.131	10858	6093	6732	6788
2.152	2727	2699	6945	6197
2.174	10725	5936	7293	6758
2.196	2781	2724	7033	6081
2.218	10481	6281	7277	6995
2.239	2789	2681	6282	6203
2.261	10136	6160	7169	7026
2.283	2932	2718	6603	6081
2.305	10793	6208	8159	6983
2.326	2673	2706	6833	6057
2.348	9880	6287	7916	6697
2.37	2778	2681	6325	6301
2.392	10461	6003	7244	6831
2.413	2741	2718	6062	6081
2.435	10695	6220	7991	6916
2.457	2734	2681	6632	6227
2.479	10988	6112	8314	6837
2.5	2758	2681	7215	6197
2.522	9785	6045	6512	6751
2.544	2746	2669	6171	6191
2.566	11758	6166	7204	6721
2.587	2884	2693	6371	6587
2.609	10398	5948	6902	6758
2.631	2664	2736	7260	6087
2.653	10118	6124	7798	6879
2.674	2780	2681	6131	6081
2.696	10677	6015	7723	7038
2.718	2791	2681	5605	6014
2.739	12426	6275	6769	6800
2.761	2732	2736	5680	6130
2.783	10588	6075	6780	6739
2.805	2868	2687	6201	6301
2.826	11219	6039	7757	6928
2.848	2769	2724	5784	5984
2.87	10136	5991	7771	6898
2.892	2914	2730	6218	6136
2.913	10766	5900	8157	6849
2.935	2737	2712	5919	6136
2.957	10870	5985	7227	6758
2.979	2773	2699	6532	6112
3	9325	6136	7813	6678
3.022	2697	2706	5783	6075
3.044	9409	6148	8015	6983
3.066	2951	2718	5832	6063
3.087	10358	6081	7794	6946
3.109	2776	2687	7015	6142
3.131	10892	6275	7646	7044
3.153	2908	2681	6795	6057
3.174	10611	6045	6687	6843
3.196	2664	2748	6115	6014
3.218	11521	6130	7553	6953
3.24	2702	2712	5608	6258
3.261	9607	5985	7606	6709
3.283	2732	2724	6438	6039
3.305	9826	5997	7349	6782
3.327	2760	2663	6509	6045
3.348	9895	6190	6948	6940
3.37	2855	2748	6925	6233
3.392	9951	6263	7611	6721
3.413	2859	2693	5960	6380
3.435	10367	5973	7402	6800
3.457	2587	2687	6073	5965
3.479	11656	6057	6610	6666
3.5	2894	2675	5771	6258
3.522	10439	6057	7283	6758
3.544	2648	2687	6217	6051
3.566	10534	5894	6625	6849
3.587	2759	2748	6155	5935
3.609	12325	6009	6722	6995
3.631	2783	2736	6301	5971
3.653	9881	5991	7386	6788
3.674	2806	2675	6326	6069
3.696	9460	6045	6590	6825
3.718	2695	2693	6548	5904
3.74	11365	5936	7233	6776
3.761	2821	2699	6555	6099
3.783	9981	5997	6614	6977
3.805	2849	2699	6294	6331
3.827	12234	6154	7890	6666
3.848	2726	2699	5666	6246
3.87	10042	6184	6722	7044
3.892	2879	2706	6404	6093
3.914	10236	6075	7109	6581
3.935	2773	2706	5745	6020
3.957	10287	5816	7008	6703
3.979	2994	2718	6618	5984
4.001	10375	6130	6822	6831
4.022	2755	2699	6345	6087
4.044	10591	5918	7152	6776
4.066	2851	2712	6008	6154
4.087	9992	6075	7139	6751
4.109	2884	2699	5791	6075
4.131	11392	6009	6535	6666
4.153	2763	2724	6467	6221
4.174	10957	6039	7182	6934
4.196	2922	2730	6282	6209
4.218	10675	6136	6821	6959
4.24	2958	2687	6880	6075
4.261	9816	6106	7091	6758
4.283	2578	2724	6584	5996
4.305	10313	6263	6831	6971
4.327	2689	2718	6139	6093
4.348	10849	6178	7285	6642
4.37	2678	2712	6112	6002
4.392	11099	5816	6892	6837
4.414	2965	2687	6171	6081
4.435	10906	6075	7019	6867
4.457	2773	2724	5993	6203
4.479	9876	6124	7407	6782
4.501	2752	2718	7013	6099
4.522	10057	6027	6952	6660
4.544	2833	2675	7068	6221
4.566	10704	5991	6720	6764
4.588	2857	2706	5813	5978
4.609	9338	5912	6744	6885
4.631	2925	2730	6277	6136
4.653	9593	6063	7476	6825
4.675	2824	2693	5537	6106
4.696	9777	6208	6597	6800
4.718	2935	2693	6108	6118
4.74	9544	5846	7108	6611
4.761	2850	2693	7819	6416
4.783	10685	6172	7113	6800
4.805	3221	2699	6433	6020
4.827	10387	6087	6720	6855
4.848	2759	2699	6856	6014
4.87	10446	6075	6727	7068
4.892	2919	2712	6427	6197
